WALIS GeoPos ID,Measurement technique,Description,Typical accuracy,Record created by,Record updated by,Last Update
4,Google Earth from publication map,"Location data is presented in a map within the publication, coordinates were extracted by georeferencing the map into Google Earth and digitizing points of interest.","Up to tens of meters, depending on how precise is the originally published map.",Alessio Rovere,Alessio Rovere,2020-04-19 13:50:54
6,Government well/core database,"A federal, state, or local government agency website hosting a database of well log or core log descriptions and/or metadata.",Per individiual record,Deirdre Ryan,,2019-11-21 04:41:58
7,Handheld GPS,,5 m,Deirdre Ryan,,2019-12-02 08:52:35
5,National Map Grid Coordinates,Location provided as a grid reference to a national map. Conversion should be made to WGS 1984 decimal degrees.,equivalent to grid resolution,Deirdre Ryan,,2019-08-12 04:26:35
