WALIS U-Series ID,Is this datapoint public?,Material type,Details on dated material,Were U-Series data recalculated?,Type of spectrometry,Are RSL estimates available for this record?,Reference(s),IGSN,Sample ID,Analysis ID,Reported ID,Date of analysis,Accepted?,Reason for rejection,Accepted in other study?,Reason for rejection in other studies,Other study ID,Screening,Location,Site,Additional site information,Latitude (decimal degrees),Longitude (decimal degrees),Reported Latitude,Reported Longitude,Are Lat/Long estimated?,Comments on geographic coordinates,Original elevation datum used,Elevation measurement method,Reported elevation (m),Reported elevation uncertainty (m),Elevation above MSL (m),Elevation uncertainty used (m),Elevation comments,Reported in situ?,Type of deposit,Distance from base of deposit (m),Sampled material,Additional sample context,paleo RSL (m),paleo RSL uncertainty (m),Pa/Th age?,14C age?,Instrument,Decay constants,Comments on decay constants,Calibration method for 230Th/238U ratio,Calibration method for 234U/238U ratio,Comments on spike calibration,How was speleothem mineralogy determined?,Speleothem mineralogy,Other screening techniques applied,Published % calcite,Interpreted % calcite,[230Th/232Th]ACT backcalculated?,[232Th/238U]ACT backcalculated?,[230Th/238U]ACT backcalculated?,[234Th/238U]ACT backcalculated?,[232Th] (ppb),[232Th] (ppb) uncertainty (±2σ),[238U] (ppm),[238U] (ppm) uncertainty (±2σ),Atomic ratio (232Th/238U)*10^5,Initial 230Th/232Th,[230Th/232Th]ACT,[230Th/232Th]ACT uncertainty (±2σ),[232Th/238U]ACT,[232Th/238U]ACT uncertainty (±2σ),[230Th/234U]ACT,[230Th/234U]ACT uncertainty (±2σ),[230Th/238U]ACT,[230Th/238U]ACT uncertainty (±2σ),[234U/238U]ACT,[234U/238U]ACT uncertainty (±2σ),Reported age (ka),"Reported ageuncertainty (ka, ±2σ)",Corrected reported age (ka),"Corrected reported age uncert. (ka, ±2σ)",Reported delta 234U initial (‰),Reported delta 234U (‰) uncertainty (±2σ),Initial 234U/238U,Initial 234U/238U uncertainty (±2σ),Measured 234U/238U,Measured 234U/238U uncertainty (±2σ),Measured delta234U,Measured delta234U uncertainty (±2σ),Comments on age determination,Reference material name for 230Th/238U,Reference material name for 234U/238U,Correction factor for 230Th/238U,Correction factor for 230Th/238U uncertainty (±2σ),Correction factor for 234U/238U,Correction factor for 234U/238U uncertainty (±2σ),Comments,Recalculated [230Th/238U]ACT,Recalculated [230Th/238U]ACT uncertainty (±2σ),Recalculated [234U/238U]ACT,Recalculated [234U/238U]ACT uncertainty (±2σ),Recalculated Conventional Age (ka),Recalculated Conventional Age uncert. (±2σ),Recalculated delta 234Ui (‰),Recalculated delta 234Ui uncertainty (±2σ),Recalculated Conventional Age uncert. w/ decay constant uncertainties (±2σ),Recalculated delta 234Ui uncert. (±2σ) w/ decay constant uncertainties,Comments (age and delta234i),Record created by,Record updated by,Last Update
742,1,Speleothem,vadose speleothem,No,Mass spectrometer ,No,"Surić et al., 2009
 Dumitru et al., 2021",,SU09-002,SU09-002-004,K-14/A172/BIG-UTh-A-234 ,,Yes,,,,n/a,,Krk Island ,U Vode Pit ,,45.086388,14.591388,,,Yes,estimated using Google Earth ,Mean Sea Level / General definition,Not reported,-14.5,,-14.5,2.9,,,,,,,,,No,No,MC-ICP-MS ,D2,,,,,X-ray diffraction ,,,,,,,,,15.53,0.06,0.0696,0.0001,,,8.6,0.1,,,,,0.631,0.011,1.089,0.003,93.1,2.5,87.7,3.7,1.115,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,Oana_Alexandra Dumitru,,2020-11-27 13:28:16
743,1,Speleothem,vadose speleothem,No,Mass spectrometer ,No,"Surić et al., 2009
 Dumitru et al., 2021",,SU09-002,SU09-002-005,K-14/A10/BIG-UTh-F-25 ,,Yes,,,,n/a,,Krk Island ,U Vode Pit ,,45.086388,14.591388,,,Yes,estimated using Google Earth ,Mean Sea Level / General definition,Not reported,-14.5,,-14.5,2.9,,,,,,,,,No,No,MC-ICP-MS ,D2,,,,,X-ray diffraction ,,,,,,,,,21.1,0.4,0.1003,0.0007,,,9.3,0.2,,,,,0.638,0.008,1.082,0.002,95.8,2,90.6,2.9,1.112,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,Oana_Alexandra Dumitru,,2020-11-27 13:28:16
3180,1,Speleothem,,No,Alpha,,"Hollin  et al., 1993
 Sutcliffe and Currant, 1984
 Sutcliffe et al., 1987",,SU84-001,SU84-001-001,unknown,,Yes,,N/A,,n/a,,,,,51.562100,-4.085623,,,Yes,,OD (Ordnance Datum Newlyn),Not reported,12.4 ,unknown,N/A,N/A,,,,,,,,,,,Not reported,No Info,,SE,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,127,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rob Barnett,,2021-05-27 13:54:43
3181,1,Speleothem,,No,Alpha,,"Hollin  et al., 1993
 Sutcliffe and Currant, 1984
 Sutcliffe et al., 1987",,SU84-001,SU84-001-002,unknown,,Yes,,N/A,,n/a,,,,,51.562100,-4.085623,,,Yes,,OD (Ordnance Datum Newlyn),Not reported,12.4 ,unknown,N/A,N/A,,,,,,,,,,,Not reported,No Info,,SE,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,107,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rob Barnett,,2021-05-27 13:56:39
649,1,Speleothem,vadose speleothem,No,Mass spectrometer ,No,"Tuccimei et al., 2007
 Dumitru et al., 2021",,TU07-001,TU07-001-001,GN-D3-1,,Yes,,,,n/a,,Sardinia,Grotta di Nettuno,,40.563888,8.160555,,,Yes,estimated using Google Earth ,Mean Sea Level / General definition,Not reported,4.2,0.1,4.2,0.1,,,,,,,,,No,No,Alpha counting,,,,,,,,,,,,,,,,,0.271,0.01,,,95,21,,,0.69,0.02,,,1.05,0.03,125,7,,,,,1.07,0.04,,,,,,,,,,,,,,,,,,,,,,,,Oana_Alexandra Dumitru,,2020-11-27 13:28:16
650,1,Speleothem,Phreatic overgrowths on speleothems,No,Mass spectrometer ,Yes,"Tuccimei et al., 2007
 Dumitru et al., 2021",,TU07-002,TU07-002-001,GN-D3-2,,Yes,,,,n/a,,Sardinia,Grotta di Nettuno,,40.563888,8.160555,,,Yes,estimated using Google Earth ,Mean Sea Level / General definition,Not reported,4.3,0.1,4.3,0.1,,,,,,,4.3,0.1,No,No,TIMS,,,,,,,,,,,,,,,,,0.212,0.002,,,100,5,,,0.677,0.045,,,1.203,0.004,117,2,,,,,0.283,0.007,,,,,,,,,,,,,,,,,,,,,,,,Oana_Alexandra Dumitru,,2020-11-27 13:28:16
651,1,Speleothem,Phreatic overgrowths on speleothems,No,Mass spectrometer ,Yes,"Tuccimei et al., 2007
 Dumitru et al., 2021",,TU07-002,TU07-002-002,GN-D4 ,,Yes,,,,n/a,,Sardinia,Grotta di Nettuno,,40.563888,8.160555,,,Yes,estimated using Google Earth ,Mean Sea Level / General definition,Not reported,4.3,0.1,4.3,0.1,,,,,,,4.3,0.1,No,No,TIMS,,,,,,,,,,,,,,,,,0.175,0.003,,,170,,,,0.682,0.007,,,1.16,0.013,120,2,,,,,1.225,0.018,,,,,,,,,,,,,,,,,,,,,,,,Oana_Alexandra Dumitru,,2020-11-27 13:28:16
652,1,Speleothem,Phreatic overgrowths on speleothems,No,Mass spectrometer ,Yes,"Tuccimei et al., 2007
 Dumitru et al., 2021",,TU07-002,TU07-002-003,GN-D6,,Yes,,,,n/a,,Sardinia,Grotta di Nettuno,,40.563888,8.160555,,,Yes,estimated using Google Earth ,Mean Sea Level / General definition,Not reported,4.3,0.1,4.3,0.1,,,,,,,4.3,0.1,No,No,Alpha counting,,,,,,,,,,,,,,,,,0.226,0.005,,,75,28,,,0.68,0.03,,,1.13,0.02,120,9,,,,,1.18,0.03,,,,,,,,,,,,,,,,,,,,,,,,Oana_Alexandra Dumitru,,2020-11-27 13:28:16
2806,1,Speleothem,stalactite,No,Mass spectrometer ,No,"Wainer et al., 2017
 Dumitru et al., 2021",,WA17-001,WA17-001-001,B1BiA,,Yes,,,,n/a,,Bermuda ,Wilkinson Quarry Cave ,,32.35263,-64.71575,32.350000,-64.700000,No,"Cave coordinates in the paper plot at sea, coordinates for this site from www.mindat.org",Mean Sea Level / General definition,Not reported,1.5,0.5,1.5,0.5,,,,,,,,,No,No,MC-ICP-MS ,D3,,,,,X-ray diffraction ,calcite ,,,,,,,,,,0.199,,,0.8±0.4 ,2257.34,109,0.000333,0.000016,,,0.7519,0.0046,1.0292,0.0051,141.593,2.2155,141.503,2.219,,,1.0434,0.0075,,,,,"The authors report 232Th/230Th values but for consistency we calculated and included here 230Th/232Th. The authors report assymetric uncertainties for the ages and for the initial 234U/238U, however we show here an average of those values and refer those interested in the assymetric values to the Suppl. Table 1 of the original paper",,,,,,,,,,,,,,,,,,,Oana_Alexandra Dumitru,,2020-11-27 13:28:16
2807,1,Speleothem,stalactite,No,Mass spectrometer ,No,"Wainer et al., 2017
 Dumitru et al., 2021",,WA17-001,WA17-001-002,B1Bi7,,Yes,,,,n/a,,Bermuda ,Wilkinson Quarry Cave ,,32.35263,-64.71575,32.350000,-64.700000,No,"Cave coordinates in the paper plot at sea, coordinates for this site from www.mindat.org",Mean Sea Level / General definition,Not reported,1.5,0.5,1.5,0.5,,,,,,,,,No,No,MC-ICP-MS ,D3,,,,,X-ray diffraction ,calcite ,,,,,,,,,,0.23,,,0.8±0.4 ,4854.37,30900,0.000154,0.000979,,,0.7461,0.0035,1.0243,0.0043,140.486,1.7035,140.409,1.7075,,,1.036,0.0064,,,,,"The authors report 232Th/230Th values but for consistency we calculated and included here 230Th/232Th. The authors report assymetric uncertainties for the ages and for the initial 234U/238U, however we show here an average of those values and refer those interested in the assymetric values to the Suppl. Table 1 of the original paper",,,,,,,,,,,,,,,,,,,Oana_Alexandra Dumitru,,2020-11-27 13:28:16
