WALIS Other chronology ID,Is this datapoint public?,Short name,Dating technique,Description,Upper age (ka),Lower age (ka),Age is Older/Equal/Younger than,Marine Isotopic Stage,Comments/details on MIS designation,Reference(s),Record created by,Record updated by,Last Update
24,1,Irazusta Quarry 3,Radiocarbon,"Conventional radiocarbon date (AC-0608) on Tagelus gibbus, with minimum age of 35400+-1800 yr BP.  The shell is in an estuary deposit, between 5.5 and 7 m.",0.0,35.4,Older than,MIS 3,> MIS 3,"Gonzalez et al 1986
 Gonzalez et al 1988b
 Gowan et al., 2021",Evan Gowan,Evan Gowan,2020-05-07 00:45:28
25,1,Martin Garcia Island 1,Radiocarbon,"Conventional radiocarbon date (AC-0433-II) on Erodona mactroides, with minimum age of 38500+-3000 yr BP.  The shell is in an estuary deposit, at about 6 m.  Another date from the same sample (AC-0433-I) gave an age of 19050+-500 yr BP, which they attributed to insufficient pre-treatment.",0.0,38.5,Older than,MIS 3,> MIS 3,"Gonzalez and Ravizza, 1987
 Gonzalez et al 1986
 Gonzalez et al 1988b
 Gowan et al., 2021",Evan Gowan,Evan Gowan,2020-05-07 00:46:38
26,1,Martin Garcia Island 2,Radiocarbon,"Conventional radiocarbon date (AC-0484) on Thais haemastroma, with minimum age of 32200+-1400 yr BP.  The shell is in an estuary deposit, at about 6 m.",0.0,32.2,Older than,MIS 3,> MIS 3,"Gonzalez and Ravizza, 1987
 Gonzalez et al 1986
 Gonzalez et al 1988b
 Gowan et al., 2021",Evan Gowan,Evan Gowan,2020-05-07 00:47:29
27,1,Canada de Arregui,Radiocarbon,"Conventional radiocarbon date (AC-0611) on Ostrea, with minimum age of 35900+-1700 yr BP.  The shell is in an estuary deposit, at about 8 m.",0.0,35.9,Older than,MIS 3,> MIS 3,"Gonzalez et al 1986
 Gonzalez et al 1988b
 Weiler et al., 1988
 Gowan et al., 2021",Evan Gowan,Evan Gowan,2020-05-07 00:48:50
28,1,Bahia Blanca estuary 1,Radiocarbon,"Conventional radiocarbon date (AC-0336) on Buccinanops, with minimum age of 35500+-2200 yr BP.  The shell is in an estuary deposit, between 12.5 and 14.5 m.",0.0,35.5,Older than,MIS 3,> MIS 3,"Gonzalez et al 1986
 Gonzalez et al 1988b
 Gowan et al., 2021",Evan Gowan,Evan Gowan,2020-05-07 00:50:12
29,1,Bahia Blanca estuary 2,Radiocarbon,"Conventional radiocarbon date (AC-0385) on mollusc shells, with minimum age of 25700+-1400 yr BP.  The shell is in an estuary deposit, between 12.5 and 14.5 m. ",0.0,25.7,Older than,MIS 3,> MIS 3,"Gonzalez et al 1986
 Gonzalez et al 1988b
 Gowan et al., 2021",Evan Gowan,Evan Gowan,2020-05-07 00:50:37
30,1,Mar del Plata port,Radiocarbon,"Conventional radiocarbon date (AC-0590) on Glycymeris longior, with minimum age of 30500+-1400 yr BP.  The shell is in a beach deposit, at about 10 m.",0.0,30.5,Older than,MIS 3,> MIS 3,"Gonzalez and Guida, 1990
 Gonzalez et al 1986
 Gonzalez et al 1988b
 Gowan et al., 2021",Evan Gowan,Evan Gowan,2020-05-07 00:51:33
31,1,Colorado River Delta 1,Radiocarbon,"Conventional radiocarbon date (AC-0465) on Zidona angulata, with minimum age of 28700+-1400 yr BP.  The shell is in a beach ridge deposit, at about 7 m.",0.0,28.7,Older than,MIS 3,> MIS 3,"Gonzalez et al 1986
 Gonzalez et al 1988b
 Gowan et al., 2021",Evan Gowan,Evan Gowan,2020-05-07 00:52:04
32,1,Colorado River Delta 2,Radiocarbon,"Conventional radiocarbon date (AC-0466) on Glycymeris longior, with minimum age of 30000+-1000 yr BP.  The shell is in a beach ridge deposit, at about 7 m. ",0.0,30.0,Older than,MIS 3,> MIS 3,"Gonzalez et al 1986
 Gonzalez et al 1988b
 Gowan et al., 2021",Evan Gowan,Evan Gowan,2020-05-07 00:53:07
33,1,CENA-1070,Radiocarbon,"This is a wood sample from the massive mud facies of the sands from the islands III (Paranaguá, Brazil). It provided an age >40 000 years B.P,  This result was corrected by the natural isotopic fractionation (-25%). The error was +/- 1 σ (68.3% probability). 
According to the calculated age and the chronostratigraphy of the region, a date of the deposit with late Pleistocene ages is assumed. Representing an RSL indicator during the last interglacial. ",0.0,0.0,Older than,MIS 1,,"Branco et al., 2010
 Rubio-Sandoval et al., 2021",Karla Zurisadai Rubio Sandoval ,Karla Zurisadai Rubio Sandoval ,2021-03-07 22:32:57
